"subjectId","activityLabel","frequencyDomainBodyAngularVelocityJerkMagnitudeMean","frequencyDomainBodyAngularVelocityJerkMagnitudeStd","frequencyDomainBodyAngularVelocityMagnitudeMean","frequencyDomainBodyAngularVelocityMagnitudeStd","frequencyDomainBodyAngularVelocityMeanX","frequencyDomainBodyAngularVelocityMeanY","frequencyDomainBodyAngularVelocityMeanZ","frequencyDomainBodyAngularVelocityStdX","frequencyDomainBodyAngularVelocityStdY","frequencyDomainBodyAngularVelocityStdZ","frequencyDomainBodyLinearAccelerationJerkMagnitudeMean","frequencyDomainBodyLinearAccelerationJerkMagnitudeStd","frequencyDomainBodyLinearAccelerationJerkMeanX","frequencyDomainBodyLinearAccelerationJerkMeanY","frequencyDomainBodyLinearAccelerationJerkMeanZ","frequencyDomainBodyLinearAccelerationJerkStdX","frequencyDomainBodyLinearAccelerationJerkStdY","frequencyDomainBodyLinearAccelerationJerkStdZ","frequencyDomainBodyLinearAccelerationMagnitudeMean","frequencyDomainBodyLinearAccelerationMagnitudeStd","frequencyDomainBodyLinearAccelerationMeanX","frequencyDomainBodyLinearAccelerationMeanY","frequencyDomainBodyLinearAccelerationMeanZ","frequencyDomainBodyLinearAccelerationStdX","frequencyDomainBodyLinearAccelerationStdY","frequencyDomainBodyLinearAccelerationStdZ","timeDomainBodyAngularVelocityJerkMagnitudeMean","timeDomainBodyAngularVelocityJerkMagnitudeStd","timeDomainBodyAngularVelocityJerkMeanX","timeDomainBodyAngularVelocityJerkMeanY","timeDomainBodyAngularVelocityJerkMeanZ","timeDomainBodyAngularVelocityJerkStdX","timeDomainBodyAngularVelocityJerkStdY","timeDomainBodyAngularVelocityJerkStdZ","timeDomainBodyAngularVelocityMagnitudeMean","timeDomainBodyAngularVelocityMagnitudeStd","timeDomainBodyAngularVelocityMeanX","timeDomainBodyAngularVelocityMeanY","timeDomainBodyAngularVelocityMeanZ","timeDomainBodyAngularVelocityStdX","timeDomainBodyAngularVelocityStdY","timeDomainBodyAngularVelocityStdZ","timeDomainBodyLinearAccelerationJerkMagnitudeMean","timeDomainBodyLinearAccelerationJerkMagnitudeStd","timeDomainBodyLinearAccelerationJerkMeanX","timeDomainBodyLinearAccelerationJerkMeanY","timeDomainBodyLinearAccelerationJerkMeanZ","timeDomainBodyLinearAccelerationJerkStdX","timeDomainBodyLinearAccelerationJerkStdY","timeDomainBodyLinearAccelerationJerkStdZ","timeDomainBodyLinearAccelerationMagnitudeMean","timeDomainBodyLinearAccelerationMagnitudeStd","timeDomainBodyLinearAccelerationMeanX","timeDomainBodyLinearAccelerationMeanY","timeDomainBodyLinearAccelerationMeanZ","timeDomainBodyLinearAccelerationStdX","timeDomainBodyLinearAccelerationStdY","timeDomainBodyLinearAccelerationStdZ","timeDomainGravityLinearAccelerationMagnitudeMean","timeDomainGravityLinearAccelerationMagnitudeStd","timeDomainGravityLinearAccelerationMeanX","timeDomainGravityLinearAccelerationMeanY","timeDomainGravityLinearAccelerationMeanZ","timeDomainGravityLinearAccelerationStdX","timeDomainGravityLinearAccelerationStdY","timeDomainGravityLinearAccelerationStdZ"
1,"laying",-0.636405499115873,-0.651534218187879,-0.650184981366667,-0.631970407518519,-0.646690037039206,-0.630707201284848,-0.688587320788889,-0.721677802492063,-0.614045040424242,-0.66436744175,-0.679985957924074,-0.701363078455556,-0.6726258066,-0.712325936545455,-0.684365374777778,-0.64444290977254,-0.673467566424242,-0.615240221803704,-0.725481409015873,-0.636645127948485,-0.700979132444444,-0.633190114489697,-0.697086090248148,-0.714347806920635,-0.675690587715152,-0.671781157301852,-0.640202447181818,-0.675298871022222,-0.715145787040741,-0.736434300015873,-0.67702249769697,-0.665545230759259,-0.672030778966667,-0.74685095780697,-0.734515707133333,-0.708408072714286,-0.687347747481482,-0.696652485430159,-0.617844988957273,-0.654476755490741,-0.669686084069841,-0.612140907824242,-0.675851403746032,-0.734295919030303,-0.7010517465,-0.741931394942857,-0.699754382272727,-0.608135911843148,-0.660473381936508,-0.698810872448485,-0.70977103497963,-0.657691826304762,-0.652398079666667,-0.666679013873016,-0.594266802151515,-0.603896631903704,-0.684545205665079,-0.661642011757576,-0.759967953121212,-0.713065684945,-0.698315254703704,-0.757705619450794,-0.696273664393939,-0.716442640037037,-0.734606320968254,-0.741412239648485
1,"sitting",-0.711348319688095,-0.718430647615263,-0.769675317503509,-0.723525722347619,-0.701075196904762,-0.683674091122807,-0.705247400361905,-0.75098453602381,-0.721602661017544,-0.790080856595238,-0.738176969166667,-0.749749923214286,-0.700037810142857,-0.685726267964912,-0.627067923404762,-0.640217078254762,-0.66859048,-0.669995258616667,-0.759644997738095,-0.75503225222807,-0.679792080928571,-0.718072470368421,-0.729708791738095,-0.684127554709524,-0.670576882807018,-0.665809818809524,-0.709414267514035,-0.769146076761905,-0.810899685761905,-0.678298006214286,-0.746550577070175,-0.767531160352381,-0.746726090642857,-0.709771902719298,-0.690113920282381,-0.685162029714286,-0.72350630485,-0.725328584880952,-0.787582314763158,-0.812279041585714,-0.751096779321429,-0.779408895449123,-0.724874758733333,-0.70981298804386,-0.682220385033333,-0.687103755897619,-0.773238902800526,-0.722449926169048,-0.72689518572619,-0.766272509087719,-0.628591187785714,-0.660296459642857,-0.69590305527381,-0.721048157090476,-0.711391171315789,-0.788125792452381,-0.749886341073809,-0.738422853235088,-0.712716754729825,-0.63796816972381,-0.772592061440476,-0.716519846833333,-0.818390318261404,-0.819247918040476,-0.760434452781667,-0.757693380754386
1,"standing",-0.734674138314815,-0.720498110462963,-0.739220747262963,-0.74272211127451,-0.730793751074074,-0.705284279768518,-0.709307030852941,-0.728250927827778,-0.712206310833333,-0.729410710754902,-0.728529318368627,-0.717714969522222,-0.742614444022185,-0.737450651913519,-0.722791985635294,-0.715821593222222,-0.717259394518519,-0.722824087786274,-0.738144189585185,-0.723271758974074,-0.745715881574074,-0.729536721592593,-0.730723790080392,-0.713480636718518,-0.735353734387037,-0.740721679098039,-0.733433754494444,-0.732855730254902,-0.780986063909804,-0.762409572403704,-0.803888853911111,-0.811802299105882,-0.796471757803704,-0.816654886555556,-0.75601934554902,-0.747079730068518,-0.775028339352941,-0.773003597718519,-0.772022266414815,-0.780465316098039,-0.787964851877778,-0.774321233509259,-0.790862568048148,-0.770618045843148,-0.782751239107843,-0.774785553451574,-0.807109864001667,-0.793482241630784,-0.78803167892037,-0.790497768901852,-0.801421765794118,-0.783784678461111,-0.700815208290196,-0.700519400333333,-0.706365810866667,-0.7213167021,-0.739858605481482,-0.721164802892593,-0.804009773609259,-0.799012847154902,-0.71378676640549,-0.729189460848148,-0.75518065422963,-0.762649782884314,-0.77476142990537,-0.793709889968759
1,"walking",-0.186743823199815,-0.195251161475758,-0.217567046578182,-0.156361902846154,-0.201906927796296,-0.223304315909091,-0.202576449141026,-0.203230736160185,-0.26360786200202,-0.192057550341026,-0.236015133534615,-0.256210051722222,-0.142869988838889,-0.186509069758586,-0.185546795582179,-0.209877702032407,-0.191864797532323,-0.192742008478333,-0.163302186213343,-0.231329848818182,-0.114952871098148,-0.116369177454545,-0.17431224275641,-0.198999140287963,-0.194532981710101,-0.140454290374487,-0.163576686680808,-0.172789776775641,-0.172558622116667,-0.17670550382963,-0.171687906813939,-0.126827788241026,-0.16621527047963,-0.207598622959596,-0.159892580737308,-0.171804668325926,-0.155370173834615,-0.213899245047222,-0.212820515299192,-0.206785469247436,-0.170676310640741,-0.156929574583333,-0.171530495974074,-0.171631046307071,-0.231254856508974,-0.211948469800926,-0.216996178398687,-0.185960903397436,-0.161829088678704,-0.184971472650505,-0.187760712144872,-0.171532572605556,-0.19841222635641,-0.24197342342037,-0.201932831008081,-0.264720668965385,-0.228481692413889,-0.205300487523838,-0.173891039065657,-0.193648282883333,-0.233235234024359,-0.196467523487963,-0.216674506188889,-0.21756451440641,-0.227504833997222,-0.263763562825253
1,"walkingDownstairs",-0.22013650284359,-0.168963681041667,-0.0969449293110417,-0.0533331529016667,-0.194375839,-0.166296522452083,-0.178195570683333,-0.17026309774359,-0.13553950915,-0.11055076665,-0.155977017743333,-0.150158132953846,-0.175963862664103,-0.158752825954167,-0.14487612193,-0.125598933228205,-0.122949474360417,-0.107646684338333,-0.165223202153846,-0.1540911054125,-0.143612329666667,-0.211516070756854,-0.185380373941667,-0.184649673512821,-0.152228157925,-0.0894168975266667,-0.131436028497917,-0.115256844915,-0.188636071605,-0.258781090564103,-0.19341498286875,-0.092308354255,-0.190527154438462,-0.221098150791667,-0.139855879883333,-0.15447664110641,-0.160538451775,-0.138715676230769,-0.12788099526875,-0.134189312338333,-0.174923749769231,-0.238129237775,-0.148824181685641,-0.12376391415625,-0.231301323423333,-0.172015370235897,-0.1386024385625,-0.12451866318,-0.182805358179487,-0.159097847033333,-0.159161792851667,-0.135585788305128,-0.1485784370945,-0.0817206805923077,-0.120736345033333,-0.0663578340213333,-0.137287463217949,-0.168439627502083,-0.087522493296875,-0.11711210734,-0.230689295706667,-0.147040844346154,-0.0998190535520833,-0.107626302984667,-0.122367320171795,-0.179159695414583
1,"walkingUpstairs",-0.302283184508772,-0.286679397035417,-0.3260457855625,-0.334790555227778,-0.341447811077193,-0.318611161710417,-0.321063062685185,-0.326172544584211,-0.390585492816667,-0.351815236055556,-0.295468548814815,-0.332543738607018,-0.305985933668421,-0.335344899604167,-0.337740877440741,-0.312585630877193,-0.3625922735875,-0.344255814166667,-0.363817118699825,-0.276995286854167,-0.369049467192982,-0.307203861375,-0.340245787316667,-0.323996014936842,-0.356961402208333,-0.368614059444444,-0.403866537791667,-0.378934875287037,-0.31817515837037,-0.257047225933333,-0.363653326770833,-0.313535136181481,-0.306222617198246,-0.2820086353125,-0.313589781001852,-0.314920570917544,-0.270901247648148,-0.339849261880702,-0.36397751013125,-0.326325854962963,-0.348234017910526,-0.3335880389375,-0.336059604052632,-0.31544532845625,-0.300253209266667,-0.235864464998246,-0.340439277354167,-0.29108759222963,-0.288525402145614,-0.2965890016875,-0.299601790127222,-0.270624456768421,-0.314923764966667,-0.285665336557895,-0.298429337985417,-0.245134281942593,-0.278665612596491,-0.260220739395833,-0.3086150030625,-0.32845042795037,-0.246094638866667,-0.262201854614035,-0.324774041575,-0.282955071037037,-0.286291835912281,-0.2772784296375
2,"laying",-0.6781658,-0.699462648809524,-0.678193256444444,-0.697840117917778,-0.762090302023889,-0.782962724761905,-0.745667018666667,-0.740247917222222,-0.697896497133333,-0.649990268017778,-0.696941124302222,-0.754049867388889,-0.792019967805556,-0.725285531509524,-0.801630489333333,-0.811412576891667,-0.793887778011111,-0.82185766768,-0.734889567722222,-0.684528327730159,-0.796594431772222,-0.779845458406349,-0.77784323416,-0.814938952027778,-0.764647678604762,-0.758112965188889,-0.794394557531746,-0.788118357386667,-0.757980962022222,-0.794459634527778,-0.706640432650794,-0.718844144038,-0.753430751333333,-0.716222013242857,-0.807089452931111,-0.795481739588889,-0.821803944044444,-0.757771424805556,-0.794244961936508,-0.757287985911111,-0.759965816722222,-0.771221601047619,-0.730148498402778,-0.793117038274603,-0.679879661908889,-0.702439845027778,-0.722254879396825,-0.741610635888889,-0.719910920972222,-0.792023159746032,-0.763468639886667,-0.735033191005556,-0.75399596916,-0.683040116055556,-0.713739470634921,-0.730235182977778,-0.658392203744444,-0.737443059111111,-0.755492654249206,-0.774068624278667,-0.759260480977778,-0.726883297561111,-0.68526510141746,-0.633063411822222,-0.692938500569444,-0.671294619795238
2,"sitting",-0.786272724285,-0.732733974102778,-0.701532068836111,-0.780174142483333,-0.73967455295,-0.7471610275,-0.686415841659762,-0.689475913926667,-0.733039344333333,-0.711495493608095,-0.747560204907143,-0.672266513171833,-0.783347215321667,-0.766719591911111,-0.788697150357143,-0.721190175626667,-0.789977168972222,-0.725067753295238,-0.736862843686667,-0.625697846333333,-0.758715329891667,-0.713602511472222,-0.724807389352381,-0.706772947933333,-0.761178240166667,-0.797708515714286,-0.767869060752778,-0.708899389409524,-0.725991301021429,-0.730647065161667,-0.707761010111111,-0.761285189602381,-0.78415531143,-0.735906894997222,-0.716513617523809,-0.71977989475,-0.759830809240476,-0.724405314551667,-0.784727018083333,-0.740847071704762,-0.794120814336667,-0.689907032416667,-0.744247558305,-0.748436689658333,-0.773199492835714,-0.704938079915,-0.732366068425,-0.737722054904762,-0.763250957256667,-0.753120559419444,-0.768770829547619,-0.731387245325,-0.730759835442857,-0.699436363755,-0.7690888923,-0.738843748666667,-0.798391103066667,-0.701199516666667,-0.754525050977778,-0.711614691228571,-0.706860305204762,-0.7107161661,-0.695592059461111,-0.722926855772952,-0.771284122818667,-0.676165173399167
2,"standing",-0.771515871849123,-0.75090396592807,-0.789591372679649,-0.784546010979167,-0.778539990701754,-0.753318086,-0.763126884477292,-0.796374425570175,-0.795254946526316,-0.8048113579125,-0.797015772229167,-0.769289150224561,-0.713474604122807,-0.701903320982456,-0.729795711827083,-0.739295944807018,-0.735234510664912,-0.73945141090625,-0.815429037017544,-0.811537669140351,-0.743199670491228,-0.724497821947368,-0.720387955041667,-0.716452357421053,-0.728971806561403,-0.720393825,-0.73958630277193,-0.748525165916667,-0.703975739960417,-0.664869062561404,-0.670492885401754,-0.64346874850625,-0.649555362449123,-0.661292356570175,-0.72048338201875,-0.759119918421053,-0.7240152008625,-0.729488628963158,-0.713849162315789,-0.7033243655625,-0.726812714659649,-0.706899455042105,-0.727773242824561,-0.70504646854386,-0.788091584791667,-0.74154263224386,-0.742644304891228,-0.752303742541667,-0.741136402991228,-0.715562702291404,-0.688433478208333,-0.678056211394737,-0.75259247705,-0.752380153307018,-0.758206718589474,-0.75443420990625,-0.791291737642105,-0.767153899982456,-0.689779316754386,-0.694822710229167,-0.77624014863125,-0.7618054392,-0.784961232526316,-0.7804685987,-0.762300490245614,-0.772731507305789
2,"walking",-0.3128545554,-0.264070498710526,-0.307503886673684,-0.344975667193333,-0.302872053681667,-0.350697087610526,-0.388977343283333,-0.337301979116667,-0.388688230210526,-0.3537568246145,-0.305047015511667,-0.355107916416667,-0.337837812555,-0.322943180175439,-0.384461636,-0.344257836533333,-0.363533313609649,-0.3496127816,-0.268980101333333,-0.24444480714386,-0.340850621816667,-0.292178063805263,-0.300377518916667,-0.3643395261,-0.355067356973684,-0.31789832436,-0.380660287438596,-0.295075764667667,-0.326557645873333,-0.332031697283333,-0.326979399877193,-0.283133240166667,-0.33829112671,-0.305161379342105,-0.302039294845,-0.44051027235,-0.3599479821,-0.327169634183333,-0.377047671157895,-0.3137923204,-0.2772220904,-0.350884290473684,-0.332686181983333,-0.321028158445614,-0.306002489516667,-0.317242808535,-0.31457718822807,-0.330180683816667,-0.313819745283333,-0.298942807536842,-0.303135534255,-0.312982437425,-0.329024324766667,-0.356941094390667,-0.323825571526316,-0.300434957183333,-0.376857966183333,-0.304575363722807,-0.30922512602807,-0.281874373819,-0.32997155731,-0.337403075383333,-0.300741646898246,-0.259316963833333,-0.3309291655,-0.247229580910526
